Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T1,Chrome 123.0.0.0,,,23-03-2024 12:26:42,23-03-2024 12:31:43,5m - 0.910s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:26:42,23-03-2024 12:27:24,41.501s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:26:43,23-03-2024 12:26:48,4.380s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:26:48,23-03-2024 12:26:48,0.830s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:26:48,23-03-2024 12:26:51,2.442s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:26:51,23-03-2024 12:26:51,0.430s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:26:51,23-03-2024 12:26:52,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:26:52,23-03-2024 12:27:22,30.181s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:27:22,23-03-2024 12:27:24,1.698s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:27:24,23-03-2024 12:27:24,0.388s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:27:24,23-03-2024 12:28:06,41.817s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:27:24,23-03-2024 12:27:26,1.453s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:27:26,23-03-2024 12:27:27,0.760s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:27:27,23-03-2024 12:27:29,2.252s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:27:29,23-03-2024 12:27:29,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:27:29,23-03-2024 12:27:30,0.614s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:27:30,23-03-2024 12:28:00,30.207s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:28:00,23-03-2024 12:28:03,2.911s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:28:03,23-03-2024 12:28:06,2.929s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:28:06,23-03-2024 12:28:44,38.581s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:28:06,23-03-2024 12:28:07,1.372s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:28:07,23-03-2024 12:28:09,1.542s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:28:09,23-03-2024 12:28:11,2.288s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:28:11,23-03-2024 12:28:12,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:28:12,23-03-2024 12:28:12,0.483s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:28:12,23-03-2024 12:28:42,30.145s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:28:42,23-03-2024 12:28:44,1.600s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 12:28:44,23-03-2024 12:28:44,0.546s,PASSED
,,,,,,,
Test Cases/DataDriven,Chrome 123.0.0.0,,,23-03-2024 12:28:45,23-03-2024 12:29:22,37.788s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:28:45,23-03-2024 12:28:46,1.465s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,23-03-2024 12:28:46,23-03-2024 12:28:46,0.226s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""jkn"")",Chrome 123.0.0.0,,,23-03-2024 12:28:46,23-03-2024 12:28:49,2.640s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""9iXuMlGT0SQ="")",Chrome 123.0.0.0,,,23-03-2024 12:28:49,23-03-2024 12:28:49,0.370s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,23-03-2024 12:28:49,23-03-2024 12:28:50,0.366s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""))",Chrome 123.0.0.0,,,23-03-2024 12:28:50,23-03-2024 12:29:20,30.159s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 12:29:20,23-03-2024 12:29:22,1.812s,PASSED
